0.13 Patch,Weight (KG),Rub price,Damage,Accuracy (%),Recoil (%),Penetration Value,Projectile Count,Projectile Speed (m/s),Penetration Chance,Ricochet Chance,Fragmentation Chance,Armor Damage (%),HeatFactor,DurabilityBurnModificator
5.56x45 mm FMJ,0.012,85,54,10,-5,23,1,957,0.425,0.26,0.5,33,50.10%,0%
5.56x45 mm HP,0.012,58,79,0,0,8,1,947,0.4,0.2,0.7,22,55.80%,0%
5.56x45 mm M855,0.012,110,53,-5,0,30,1,922,0.5,0.4,0.4,37,61.50%,15%
5.56x45 mm M855A1,0.012,784,49,-10,5,44,1,945,0.55,0.38,0.34,52,71.00%,34%
5.56x45 mm M856,0.012,128,59,-2,-2,23,1,874,0.55,0.38,0.328,34,63.40%,15%
5.56x45 mm M856A1,0.012,382,54,-1,4,37,1,940,0.55,0.38,0.328,52,65.30%,20%
5.56x45 mm M995,0.012,1505,42,0,8,53,1,1013,0.6,0.36,0.32,58,80.50%,70%
5.56x45 mm MK 255 Mod 0 (RRLP),0.012,135,63,0,0,18,1,936,0.2,0.1,0.03,32,59.60%,10%
5.56x45 mm MK 318 Mod 0 (SOST),0.012,180,69,10,0,20,1,902,0.21,0.1,0.15,35,52.00%,0%
5.56x45 mm SSA AP,0.013,1723,38,-6,6,57,1,1013,0.7,0.48,0.2,64,90.00%,80%
5.56x45 mm Warmageddon,0.011,156,88,10,10,3,1,936,0.2,0.05,0.9,11,53.90%,0%
,,,,,,,,,,,,,,
5.7x28 mm L191,0.006,112,58,-4,0,33,1,922,0.5,0.6,0.2,41,11.15%,15%
5.7x28 mm R37.F,0.006,185,98,0,0,8,1,729,0.02,0.05,1,7,-2.89%,0%
5.7x28 mm R37.X,0.006,156,81,0,0,11,1,724,0.15,0.1,0.7,14,-1.72%,0%
5.7x28 mm SB193,0.007,143,54,5,-24,35,1,299,0.5,0.3,0.2,37,-6.40%,-20%
5.7x28 mm SS190,0.006,525,49,0,0,37,1,715,0.5,0.6,0.2,43,17.00%,20%
5.7x28 mm SS197SR,0.007,110,62,0,0,20,1,594,0.2,0.2,0.5,22,0.00%,0%
5.7x28 mm SS198LF,0.006,134,74,0,0,10,1,792,0.1,0.2,0.8,15,-0.55%,0%
,,,,,,,,,,,,,,
7.62x25 mm TT FMJ43,0.01,50,60,0,0,11,1,427,0.17,0.065,0.25,29,-2.65%,0%
7.62x25 mm TT LRN,0.01,48,64,5,-5,8,1,375,0.16,0.05,0.35,28,6.20%,15%
7.62x25 mm TT LRNPC,0.01,68,66,10,-10,7,1,385,0.16,0.05,0.35,27,6.79%,15%
7.62x25 mm TT P gl,0.01,52,58,0,0,14,1,430,0.17,0.065,0.25,32,-4.42%,0%
7.62x25 mm TT Pst gzh,0.01,70,50,0,0,25,1,430,0.2,0.1,0.2,36,7.38%,40%
7.62x25 mm TT PT gzh,0.01,63,55,-10,0,18,1,415,0.18,0.1,0.166,34,18.00%,50%
7.62x25 mm TT AKBS,0.01,49,58,15,-15,12,1,425,0.17,0.065,0.25,32,-5.60%,0%
,,,,,,,,,,,,,,
.300 Blackout BCP FMJ,0.015,79,60,0,0,30,1,605,0.34,0.3,0.3,36,59.20%,0%
.300 Blackout AP,0.014,1215,51,0,3,48,1,635,0.46,0.3,0.1,65,99.00%,50%
.300 Blackout M62 Tracer,0.016,155,54,0,1,36,1,442,0.4,0.37,0.2,40,70.00%,25%
.300 Blackout V-Max,0.015,125,72,30,-10,20,1,723,0.2,0.1,0.25,25,80.00%,10%
.300 Whisper,0.015,94,90,5,-5,14,1,853,0.1,0.1,0.35,18,97.01%,5%
,,,,,,,,,,,,,,
7.62x39 mm BP,0.01,1495,58,-3,5,47,1,730,0.6,0.315,0.12,63,91.90%,45%
7.62x39 mm HP,0.016,60,87,-5,0,15,1,754,0.26,0.175,0.2625,35,61.60%,0%
7.62x39 mm PS,0.016,83,57,0,0,35,1,700,0.4,0.35,0.25,52,81.80%,10%
7.62x39 mm T45M,0.01,58,64,-4,-6,30,1,720,0.33,0.35,0.12,46,0.00%,10%
7.62x39 mm US,0.01,134,56,5,-30,29,1,300,0.52,0.358,0.075,42,51.50%,-20%
7.62x39 mm MAI AP,0.012,2594,47,-5,10,58,1,730,0.65,0.435,0.05,76,102.00%,70%
,,,,,,,,,,,,,,
7.62x51 mm M61,0.024,1960,70,3,10,64,1,849,0.9,0.3,0.13,83,135.60%,80%
7.62x51 mm M62,0.024,1375,79,-6,-1,44,1,816,0.67,0.38,0.14,75,123.20%,50%
7.62x51 mm M80,0.024,356,80,0,0,41,1,833,0.75,0.38,0.17,66,125.68%,30%
7.62x51 mm BCP FMJ,0.022,150,83,-7,0,35,1,840,0.5,0.4,0.2,42,113.28%,18%
7.62x51 mm M993,0.024,2250,67,5,8,70,1,910,0.92,0.28,0.13,85,148.00%,100%
7.62x51 mm TCW SP,0.023,110,87,-2,-3,30,1,808,0.2,0.4,0.35,25,98.40%,0%
7.62x51 mm Ultra Nosler,0.021,320,107,10,-5,15,1,822,0.1,0.2,0.7,20,110.80%,15%
,,,,,,,,,,,,,,
7.62x54 mm R BT Gzh,0.024,1712,78,-2,-4,55,1,875,0.82,0.265,0.081,87,144.15%,50%
7.62x54 mm R BS Gzh,0.025,2625,72,0,0,70,1,785,0.85,0.34,0.083,88,157.00%,70%
7.62x54 mm R T-46M Gzh,0.025,175,82,-1,-5,41,1,800,0.77,0.3,0.18,83,105.60%,0%
7.62x54 mm R PS Gzh,0.024,738,84,10,8,45,1,875,0.77,0.285,0.083,84,118.45%,15%
7.62x54 mm R LPS Gzh,0.024,172,81,0,0,42,1,865,0.76,0.39,0.18,78,131.30%,10%
7.62x54 mm R SNB Gzh,0.024,2010,75,0,10,62,1,875,0.84,0.285,0.08,87,133.87%,20%
,,,,,,,,,,,,,,
.338 Lapua Magnum AP,0.049,6625,115,0,10,79,1,849,0.9,0.3,0.13,89,226.00%,140%
.338 Lapua Magnum FMJ,0.047,2412,122,0,0,47,1,900,0.7,0.4,0.2,83,209.70%,80%
.338 Lapua Magnum UCW,0.045,750,142,-5,0,32,1,849,0.6,0.4,0.6,70,160.80%,0%
.338 Lapua Magnum TAC-X,0.044,1100,196,10,-5,18,1,880,0.3,0.4,0.5,55,193.40%,40%
,,,,,,,,,,,,,,
9x18 mm PM BZhT gzh,0.01,65,53,0,0,18,1,325,0.11,0.095,0.17,28,4.31%,15%
9x18 mm PM PBM gzh,0.007,71,40,0,4,28,1,519,0.12,0.09,0.16,30,14.00%,70%
9x18 mm P mm PstM gzh,0.009,115,58,0,5,24,1,420,0.11,0.075,0.17,33,8.30%,60%
9x18 mm PM PPe gzh,0.009,51,61,0,0,7,1,297,0.08,0.05,0.35,15,-7.38%,0%
9x18 mm PM PPT gzh,0.01,43,59,-5,-7,8,1,301,0.09,0.1,0.166,22,3.17%,15%
9x18 mm PM PRS gs,0.011,39,58,0,0,6,1,302,0.085,0.005,0.3,16,-9.94%,0%
9x18 mm PM PSO gzh,0.008,22,54,10,0,5,1,315,0.085,0.065,0.35,13,-9.37%,0%
9x18 mm PM Pst gzh,0.01,45,50,0,0,12,1,298,0.1,0.1,0.2,26,3.74%,15%
9x18 mm PM PSV,0.012,69,69,0,0,3,1,280,0.05,0.01,0.4,5,-8.80%,0%
9x18 mm PM PS gs PPO,0.01,29,55,0,0,6,1,330,0.085,0.03,0.25,16,-8.23%,0%
9x18 mm PM P gzh,0.011,12,50,0,0,5,1,302,0.085,0.065,0.25,16,-7.09%,0%
9x18 mm PM RG028 gzh,0.011,78,65,0,0,13,1,330,0.1,0.05,0.02,26,-7.66%,0%
9x18 mm PM SP7 gzh,0.011,97,77,0,0,2,1,420,0.1,0.05,0.02,5,-6.52%,0%
9x18 mm PM SP8 gzh,0.009,45,67,0,0,1,1,250,0.01,0.05,0.6,2,-14.50%,-20%
,,,,,,,,,,,,,,
9x19 mm PBP gzh,0.009,725,52,5,5,39,1,560,0.4,0.2,0.05,55,19.00%,70%
9x19 mm Green Tracer,0.006,72,58,-5,-6,14,1,365,0.2,0.05,0.15,33,13.05%,15%
9x19 mm PSO gzh,0.01,49,59,0,0,10,1,340,0.17,0.065,0.25,32,1.15%,15%
9x19 mm Pst gzh,0.005,62,54,0,0,20,1,457,0.2,0.05,0.15,33,7.10%,17%
9x19 mm AP 6.3,0.009,272,52,0,0,30,1,392,0.4,0.2,0.05,48,13.65%,35%
9x19 mm Luger CCI,0.015,185,70,0,0,10,1,420,0.12,0.065,0.25,38,-4.80%,10%
9x19 mm QuakeMaker,0.013,140,85,10,10,8,1,290,0.1,0.1,0.1,22,-1.83%,10%
9x19 mm RIP,0.013,385,102,0,5,2,1,381,0.02,0.002,1,11,8.29%,20%
,,,,,,,,,,,,,,
9x21 mm PS gzh,0.023,340,49,0,0,35,1,410,0.6,0.4,0.2,46,18.75%,35%
9x21 mm P gzh,0.023,150,65,0,0,18,1,413,0.3,0.2,0.3,44,0.00%,10%
9x21 mm PE gzh,0.023,197,80,0,0,15,1,415,0.4,0.2,0.35,63,0.00%,10%
9x21 mm BT gzh,0.023,1205,63,-4,0,39,1,410,0.6,0.4,0.2,47,25.00%,40%
,,,,,,,,,,,,,,
.357 Magnum FMJ,0.016,142,70,0,12,35,1,385,0.35,0.065,0.01,43,127.00%,50%
.357 Magnum HP,0.016,122,99,15,15,18,1,481,0.15,0.025,0.6,20,156.00%,60%
.357 Magnum JHP,0.016,186,88,15,8,24,1,425,0.3,0.055,0.6,28,127.00%,40%
.357 Magnum SP,0.015,100,108,27,-29,12,1,455,0.2,0.03,0.2,15,65.00%,30%
,,,,,,,,,,,,,,
9x39 mm BP gs,0.023,1510,60,10,22,55,1,295,0.75,0.5,0.1,68,61.00%,35%
9x39 mm PAB-9 gs,0.024,1345,62,-15,10,48,1,320,0.78,0.48,0.1,72,56.00%,55%
9x39 mm SP-5 gs,0.023,160,71,0,-5,28,1,290,0.6,0.4,0.2,60,53.00%,20%
9x39 mm SP-6 gs,0.023,1151,58,0,10,46,1,305,0.7,0.5,0.1,60,61.00%,45%
9x39 mm SPP gs,0.023,742,68,10,10,40,1,310,0.6,0.4,0.2,55,45.00%,10%
